spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,Day_name,Month_name,Year_name
0EUSbTvyZfo9QOcxunL9Ro,10-07-2013,windows,345626,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,unknown,trackdone,FALSE,FALSE,Wed,Jul,2013
2oq2dbjW3sxOY0BscMWd7Q,10-07-2013,windows,50952,I'll Be Alright,Passion Pit,Gossamer,unknown,unknown,FALSE,TRUE,Wed,Jul,2013
1WETgXqmJ2NaziQhtav0pK,10-07-2013,windows,147536,Moth's Wings,Passion Pit,Manners,unknown,unknown,FALSE,TRUE,Wed,Jul,2013
02omMoSwhnmDAzG2F6DFcv,10-07-2013,windows,245346,Let Me Hold You,Josh Krajcik,Josh Krajcik - EP,unknown,trackdone,FALSE,FALSE,Wed,Jul,2013
7qUA9MGpAGuIAAuXn0l7ik,10-07-2013,windows,4643,One Thing She'll Never Know,Josh Krajcik,Josh Krajcik - EP,trackdone,unknown,FALSE,TRUE,Wed,Jul,2013
6U93aW72iDtXBnzmb30r3i,11-07-2013,windows,96173,Gotta Be Tonight,Lifehouse,Almeria,unknown,popup,FALSE,TRUE,Thu,Jul,2013
4rHZZAmHpZrA3iH5zx8frV,11-07-2013,windows,360354,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),popup,endplay,FALSE,TRUE,Thu,Jul,2013
4rHZZAmHpZrA3iH5zx8frV,12-07-2013,windows,1011,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),appload,unknown,FALSE,TRUE,Fri,Jul,2013
0EUSbTvyZfo9QOcxunL9Ro,13-07-2013,windows,1012,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,appload,unknown,FALSE,TRUE,Sat,Jul,2013
2GAljG6WxV0XU7N88TWhb1,13-07-2013,windows,257626,Paper Doll,John Mayer,Paper Doll,unknown,trackdone,FALSE,FALSE,Sat,Jul,2013
30ysy9K5yHp7LvePMNFWtO,13-07-2013,windows,216093,The Wind Cries Mary - Live at The X-Lounge,John Mayer,No Such Thing,trackdone,trackdone,TRUE,FALSE,Sat,Jul,2013
5gbxzSqABThINGDb7vIiwe,13-07-2013,windows,332066,Edge of Desire,John Mayer,Battle Studies,trackdone,trackdone,TRUE,FALSE,Sat,Jul,2013
5e7ati4Dx5ax2YapfnV5FS,13-07-2013,windows,263373,"Who Did You Think I Was - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,trackdone,trackdone,TRUE,FALSE,Sat,Jul,2013
1WyvrmVqYkmQCBuibpLEqt,13-07-2013,windows,286266,"No Such Thing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,Any Given Thursday,trackdone,trackdone,TRUE,FALSE,Sat,Jul,2013
2qGE8x9qNrxPNJZEdHibx0,13-07-2013,windows,548893,"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",John Mayer,"As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",trackdone,trackdone,TRUE,FALSE,Sat,Jul,2013
1KQ6mxVLMaJDtf36A1XRMd,13-07-2013,windows,1020,"My Stupid Mouth - Live at Tweeter Center, Philadelphia, Pennsylvania, August 2004",John Mayer,As/Is - Live,appload,popup,FALSE,TRUE,Sat,Jul,2013
4rHZZAmHpZrA3iH5zx8frV,13-07-2013,windows,205051,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),popup,popup,FALSE,TRUE,Sat,Jul,2013
2GAljG6WxV0XU7N88TWhb1,13-07-2013,windows,255388,Paper Doll,John Mayer,Paper Doll,popup,popup,FALSE,TRUE,Sat,Jul,2013
5t514bZ4eZPtKJbKfuZJCA,13-07-2013,windows,238122,Beautiful Day,U2,The Best Of 1990-2000,popup,popup,FALSE,TRUE,Sat,Jul,2013
6QiBNpMK7xlZFnnoEdIPCr,13-07-2013,windows,111920,Millionaires,The Script,#3 Deluxe Version,trackdone,endplay,FALSE,TRUE,Sat,Jul,2013
2nMeu6UenVvwUktBCpLMK9,02-08-2013,windows,236053,Young And Beautiful,Lana Del Rey,Young And Beautiful,unknown,trackdone,FALSE,FALSE,Fri,Aug,2013
2dBwB667LHQkLhdYlwLUZK,02-08-2013,windows,265427,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
487OPlneJNni3NWC8SYqhW,02-08-2013,windows,285400,Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
24jvD83UgLmrdGjhWTFslY,02-08-2013,windows,281960,Video Games,Lana Del Rey,Born To Die - The Paradise Edition,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
2lFTzUnuGaWlWHJQokjRyb,02-08-2013,windows,154028,Blue Jeans,Lana Del Rey,Born To Die - The Paradise Edition,trackdone,unknown,FALSE,TRUE,Fri,Aug,2013
6j5X0FG5BKiC9SAodO7t2d,02-08-2013,windows,5015,Deadlines And Commitments,The Killers,Battle Born,unknown,fwdbtn,FALSE,TRUE,Fri,Aug,2013
40SE4lxCPNibwbdw1zzWV5,02-08-2013,windows,36811,Dreaming of You,The Coral,Cheap Date,fwdbtn,unknown,FALSE,TRUE,Fri,Aug,2013
487OPlneJNni3NWC8SYqhW,02-08-2013,windows,3508,Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,unknown,fwdbtn,FALSE,TRUE,Fri,Aug,2013
6Nz7fcKGTp3gllNtY7abD3,02-08-2013,windows,18896,Save Me,Gotye,Making Mirrors,fwdbtn,unknown,FALSE,TRUE,Fri,Aug,2013
3cV7ryrf9DzC48ZMJ01Rvy,02-08-2013,windows,161253,Submarines,The Lumineers,The Lumineers,unknown,trackdone,FALSE,FALSE,Fri,Aug,2013
0S1yRPEdH2PpRrb0GRdVDH,02-08-2013,windows,217293,Every Night,Imagine Dragons,Night Visions,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
0RggR1dW1jcetoS02NNl6a,02-08-2013,windows,218653,Need Your Love,The Temper Trap,The Temper Trap,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
4Q6Kuze3wNMQRjamyBjHUR,02-08-2013,windows,284000,Rivers and Roads,The Head And The Heart,The Head and the Heart,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
2u295Qd2IeM1V8AsNyz0Zv,02-08-2013,windows,227066,On My Way,Passion Pit,Gossamer,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
1PYs14WcZ5quGBUBMtkXED,02-08-2013,windows,217693,All I Need,AWOLNATION,Megalithic Symphony,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
1EWMC52f81plzO8HIHlO8q,02-08-2013,windows,275320,"Dog Days Are Over - MTV Unplugged, 2012 / Live",Florence + The Machine,MTV Presents Unplugged: Florence + The Machine,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
2PfnAaQIMwHPvmda8MG5jm,02-08-2013,windows,301613,Slow And Steady,Of Monsters and Men,My Head Is An Animal,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
73dEV2H9WznwBzAvj2Pf2C,02-08-2013,windows,231173,Hideaway,Passion Pit,Gossamer,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
6LwvkhKOTuaInZ6AvIwMBN,02-08-2013,windows,342466,Mayla,Edward Sharpe & The Magnetic Zeros,Here,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
1zS85RlXiRuTiWpDIOhICA,02-08-2013,windows,305680,"It's Not My Fault, I'm Happy",Passion Pit,Gossamer,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
65m9RPoiuea6SzU5nY6BNv,02-08-2013,windows,187400,Giving Me A Chance,Gotye,Making Mirrors,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
2nPUkZzM3cHNmXhzk5SOC4,02-08-2013,windows,252506,Shake It Out - Acoustic,Florence + The Machine,MTV Presents Unplugged: Florence + The Machine,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
5Gtn8HgCAo0TUiaKKgP6us,02-08-2013,windows,303653,Down in the Valley,The Head And The Heart,The Head and the Heart,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
5OebIZWU7MdW00L5NYN8vn,02-08-2013,windows,305565,Black Flies,Ben Howard,Every Kingdom,trackdone,fwdbtn,FALSE,TRUE,Fri,Aug,2013
6bm0WQCaf5cxIF5RfeqD14,02-08-2013,windows,205773,Barton Hollow,The Civil Wars,Barton Hollow,fwdbtn,trackdone,FALSE,FALSE,Fri,Aug,2013
7is9tMXN65NMBWAVI36ajW,02-08-2013,windows,259080,Man On Fire,Edward Sharpe & The Magnetic Zeros,Here,fwdbtn,trackdone,FALSE,FALSE,Fri,Aug,2013
2MgY0umzrjjm9R1xZBzEz0,02-08-2013,windows,333400,What The Water Gave Me,Florence + The Machine,Ceremonials,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
6pLhhL7EzoVWoyvyTBjqP6,02-08-2013,windows,196933,Round And Round,Imagine Dragons,Night Visions,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
4pQMsLW9wd8AhmYiNbJe6v,02-08-2013,windows,300053,Where We Belong,Passion Pit,Gossamer,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
5vBuEyPxNvbWdUNMIMqhMT,02-08-2013,windows,206786,I Don't Wanna Pray,Edward Sharpe & The Magnetic Zeros,Here,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
0FewJiOWwwe7jKy9opGkpz,02-08-2013,windows,260342,The Fear,Ben Howard,Every Kingdom,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
09mIPrN6IFVWZU8Ik67FVT,02-08-2013,windows,216013,The Brightest Lights,King Charles,LoveBlood,trackdone,trackdone,FALSE,FALSE,Fri,Aug,2013
